fact_check_id,post_id,relationship,split
12826,41399,backlink,train
24768,52996,backlink,train
15921,40679,backlink,test
17818,65904,claimreview_schema,train
91800,49457,backlink,train
129945,66428,claimreview_schema,train
108784,30757,backlink,dev
17445,36353,backlink,train
30628,34122,backlink,train
151202,55111,backlink,train
108924,35848,backlink,test
81612,66523,claimreview_schema,train
85165,31900,backlink,train
85165,51457,backlink,train
85165,52694,backlink,train
19732,39977,backlink,train
67573,37586,backlink,train
128188,44989,backlink,train
67556,47055,backlink,train
67556,58353,backlink,train
2704,69763,backlink,train
27491,49630,backlink,dev
15982,38678,backlink,train
28000,49582,backlink,train
4449,55917,backlink,dev
131953,48087,backlink,train
35091,40069,backlink,train
108783,35956,backlink,train
489,52512,backlink,train
120720,50530,backlink,test
2057,32584,backlink,train
6394,35826,backlink,train
1139,49673,backlink,test
47009,54724,backlink,test
17996,50025,backlink,train
56292,32583,backlink,dev
56258,42626,backlink,train
15192,61099,backlink,dev
101687,48954,backlink,train
18691,69550,backlink,train
15154,46682,backlink,train
24732,28775,backlink,train
108222,55024,backlink,train
200225,47679,backlink,dev
67700,33803,backlink,train
5561,36809,backlink,train
5561,70131,backlink,train
27487,46230,backlink,train
152476,28969,backlink,train
152476,21366,backlink,train
74091,29814,backlink,train
153538,21603,backlink,train
153538,40321,backlink,train
153538,42493,backlink,train
153538,19311,backlink,train
12460,42515,backlink,test
1399,30927,backlink,train
5957,55226,backlink,train
5084,29241,backlink,train
13376,41663,backlink,train
118971,38862,backlink,train
126643,30409,backlink,test
199665,32642,backlink,train
199665,49393,backlink,train
199665,55829,backlink,train
67692,54274,backlink,test
58455,70329,backlink,test
5214,40041,backlink,dev
128494,36694,backlink,train
129548,47418,backlink,train
129548,55287,backlink,train
2653,31217,backlink,test
15098,40440,backlink,train
2737,51784,backlink,train
17993,70417,backlink,train
1127,42012,backlink,train
130388,36536,backlink,train
61446,51883,backlink,test
132257,44646,backlink,train
7205,36397,backlink,test
66559,34554,backlink,train
1838,48843,backlink,train
4846,48748,backlink,train
10546,38747,backlink,train
129534,45594,backlink,train
87711,33190,backlink,train
24637,48896,backlink,dev
153901,33697,backlink,train
40426,50637,backlink,test
32655,41066,backlink,train
67721,50391,backlink,train
39297,29909,backlink,train
129683,34565,backlink,dev
76544,35474,backlink,train
76544,55966,backlink,train
85447,55715,backlink,train
17343,45873,backlink,train
87491,38664,claimreview_schema,train
87710,41963,backlink,train
12184,38217,backlink,train
33493,49902,backlink,train
24118,37439,backlink,train
93670,70319,backlink,train
129014,45307,backlink,train
154733,11336,backlink,train
195510,49392,backlink,test
149230,30135,backlink,train
149230,43335,backlink,train
64473,36037,backlink,train
129577,38059,backlink,train
126039,34636,backlink,dev
120714,42644,backlink,test
62677,33923,backlink,test
130321,37712,backlink,test
56676,51091,backlink,dev
118252,29995,backlink,train
22768,37316,backlink,train
22768,47058,backlink,train
136171,43118,backlink,train
27387,36319,backlink,train
27387,45198,backlink,train
27387,49153,backlink,train
27387,49944,backlink,train
27387,51505,backlink,train
16025,36611,backlink,train
17315,54404,backlink,train
205822,35761,backlink,train
205822,37201,backlink,train
205822,25885,backlink,train
205822,48217,backlink,train
105466,13719,backlink,dev
47775,52756,backlink,test
79621,40624,backlink,train
140910,32290,backlink,train
87492,65206,claimreview_schema,train
16041,37497,backlink,train
131623,53119,backlink,train
195194,42432,backlink,train
6851,55627,backlink,dev
5157,39162,backlink,train
127977,28240,backlink,test
127977,44812,backlink,test
108932,69911,backlink,test
17480,16120,backlink,train
91917,28698,backlink,train
198375,39975,backlink,train
20953,44002,backlink,train
199660,39171,backlink,test
56221,28666,backlink,train
39405,49729,backlink,test
25727,50401,backlink,train
38031,37739,backlink,test
38031,50758,backlink,test
200205,40191,backlink,test
200205,40603,backlink,test
1420,70315,backlink,train
151169,68237,claimreview_schema,train
205826,31861,backlink,train
205826,32410,backlink,train
205826,50461,backlink,train
205826,19517,backlink,train
131408,19517,backlink,train
127731,41740,backlink,train
43063,30436,backlink,train
109705,35161,backlink,train
109705,55673,backlink,train
19817,41884,backlink,train
15254,51016,backlink,train
148948,54154,claimreview_schema,train
97483,37154,backlink,train
129390,33441,backlink,test
17590,31886,backlink,dev
130114,54002,backlink,dev
125351,31287,backlink,train
149214,32222,backlink,train
140795,35509,backlink,train
67611,46096,backlink,train
196497,50519,backlink,train
76914,12521,backlink,train
20061,14337,backlink,test
49314,50805,backlink,train
201218,48926,backlink,train
15843,31461,backlink,train
15843,53260,backlink,train
131000,33807,backlink,train
20064,30394,backlink,train
36867,47636,backlink,train
132530,47162,backlink,test
72566,47791,backlink,train
84683,40820,backlink,dev
148844,48845,backlink,test
105589,37610,backlink,train
862,52104,backlink,train
862,53178,backlink,train
195588,45774,backlink,train
105728,49546,backlink,train
154155,69616,backlink,train
85792,51961,backlink,train
1529,45232,backlink,train
4384,52623,backlink,train
201211,42310,backlink,train
201211,10272,backlink,train
201211,19573,backlink,train
201211,70424,backlink,train
146381,39723,backlink,train
34431,50662,backlink,dev
67615,49016,backlink,train
39091,30387,backlink,train
128370,50902,backlink,train
128910,47506,backlink,dev
4635,52257,backlink,test
197078,34504,backlink,train
127436,43541,backlink,train
21835,38370,backlink,test
3057,19502,backlink,train
67617,39181,backlink,train
63435,54115,backlink,train
85431,37752,backlink,train
94730,33293,backlink,train
26884,27613,backlink,test
199302,28943,backlink,dev
931,32064,backlink,train
132673,52091,backlink,train
40455,69634,backlink,train
87351,52250,backlink,train
34522,13729,backlink,train
34522,54605,backlink,train
197839,31328,backlink,train
6175,40698,backlink,train
67681,52869,backlink,test
94999,39865,backlink,test
120730,42103,backlink,train
120730,42237,backlink,train
120730,7598,backlink,train
120730,54012,backlink,train
196093,52108,backlink,train
108875,45402,backlink,train
119005,43380,backlink,train
5473,32808,backlink,train
131111,30123,backlink,train
40980,52266,backlink,train
40981,49288,backlink,train
90118,39033,backlink,train
90118,45713,backlink,train
1111,33902,backlink,dev
30657,54512,backlink,train
40143,31822,backlink,train
199854,8756,backlink,train
58454,38029,backlink,train
119267,55418,backlink,train
196157,28277,backlink,train
196157,32581,backlink,train
196157,21139,backlink,train
34478,27978,backlink,train
77294,43567,backlink,train
85445,69861,backlink,train
2568,45138,backlink,train
128804,30092,backlink,dev
14187,4117,backlink,test
21221,36796,backlink,train
21221,48831,backlink,train
111349,34055,backlink,train
28598,47921,backlink,train
27028,37169,backlink,train
138853,69406,backlink,train
6987,51368,backlink,dev
125815,43993,backlink,train
123604,46635,backlink,train
82288,40592,backlink,train
82288,45351,backlink,train
75471,42058,backlink,train
14723,29519,backlink,test
13093,30494,backlink,train
102541,52040,backlink,train
58459,35982,backlink,train
58459,53074,backlink,train
205841,44676,backlink,test
132684,69340,backlink,dev
195265,13429,backlink,test
3087,45065,backlink,test
131913,54506,backlink,train
131496,55050,backlink,train
197709,53308,backlink,train
67618,54274,backlink,test
35732,41859,backlink,test
61772,42713,backlink,train
20793,21242,backlink,train
34740,45829,backlink,train
25931,36444,backlink,train
88481,46245,backlink,train
127710,68828,claimreview_schema,test
86866,48009,backlink,train
199626,28457,backlink,train
2728,31736,backlink,train
2741,31736,backlink,train
34601,49423,backlink,test
34601,49548,backlink,test
1197,33197,backlink,train
199903,42124,backlink,train
113451,66766,claimreview_schema,train
364,34456,backlink,test
125806,70003,backlink,train
1996,46858,backlink,train
142835,36626,backlink,train
142835,43846,backlink,train
142835,6035,backlink,train
126908,33836,backlink,train
125233,11665,backlink,train
76525,52946,backlink,train
32676,29595,backlink,train
130123,36416,backlink,train
155287,40953,backlink,test
14713,43534,backlink,dev
85936,37748,backlink,train
85936,45793,backlink,train
125561,8728,backlink,test
70000,21194,backlink,train
70000,16634,backlink,train
205853,21746,backlink,train
9743,52481,backlink,train
112300,47306,backlink,train
200349,39828,backlink,train
4658,52738,backlink,train
2413,52738,backlink,train
131630,49489,backlink,train
129299,34562,backlink,train
128586,50442,backlink,train
195280,34569,backlink,test
200715,37526,backlink,train
200715,6513,backlink,train
199291,52127,backlink,dev
194612,15970,backlink,train
197766,17022,backlink,train
194792,28849,backlink,dev
118225,46485,backlink,train
72601,40484,backlink,train
101759,48616,backlink,train
3680,45323,backlink,test
151140,38993,backlink,train
14683,45228,backlink,train
14683,68907,claimreview_schema,train
41172,49069,backlink,train
151065,47116,backlink,train
197573,30401,backlink,train
1287,38841,backlink,train
20954,44281,backlink,test
131410,39130,backlink,train
109028,41854,backlink,train
18286,69123,claimreview_schema,train
16159,34712,backlink,train
34432,44707,backlink,train
75598,47630,backlink,test
197095,38249,backlink,dev
129192,65623,claimreview_schema,train
125610,50377,backlink,train
130439,39437,backlink,train
49150,56054,claimreview_schema,test
205865,20188,backlink,train
130935,55708,backlink,train
119473,48027,backlink,train
67614,29041,backlink,train
200182,35139,claimreview_schema,train
39402,29020,backlink,train
125972,33929,backlink,train
72929,39254,backlink,train
201265,55466,backlink,train
91802,44401,backlink,test
34509,39191,backlink,train
196854,28931,backlink,dev
130054,44676,backlink,test
198154,48801,backlink,train
65283,48418,backlink,train
33069,46980,backlink,train
38013,70230,backlink,train
51368,9188,backlink,train
129338,55155,backlink,dev
20412,39530,backlink,train
205869,47876,backlink,test
199252,35127,backlink,train
43276,10764,backlink,train
17761,37367,backlink,train
57161,31841,backlink,train
130437,70290,backlink,train
205872,45461,backlink,train
130197,33884,backlink,test
125823,50084,backlink,dev
76708,45461,backlink,train
198680,50665,backlink,test
113445,55364,backlink,train
196419,41356,backlink,train
110020,33259,backlink,train
16425,50497,backlink,train
84297,37183,claimreview_schema,train
198721,28614,backlink,train
198721,32957,backlink,train
198721,69366,backlink,train
143432,46090,backlink,test
127610,52272,backlink,train
24679,33942,backlink,dev
201512,47876,backlink,test
195248,20188,backlink,train
17395,33035,claimreview_schema,dev
131951,53718,backlink,train
125342,47750,backlink,train
66373,45768,backlink,train
82176,31037,backlink,train
98776,46174,backlink,dev
15431,46174,backlink,dev
6440,70404,backlink,train
146119,49447,backlink,test
131492,69371,backlink,train
131492,69617,backlink,train
85712,14191,backlink,train
85712,70380,backlink,train
194353,54162,backlink,train
127074,46853,backlink,train
120348,53137,backlink,train
61050,30341,backlink,train
41186,28386,backlink,train
34710,37311,backlink,train
6379,69736,backlink,train
42315,44771,backlink,train
125821,52528,backlink,train
133650,69387,backlink,train
127662,68419,claimreview_schema,train
84745,69477,backlink,test
1501,5131,backlink,train
1903,33810,backlink,train
150930,50464,backlink,train
125816,35449,backlink,train
830,40802,backlink,test
56845,38421,backlink,train
234,70144,backlink,train
199948,51222,backlink,test
17942,41936,backlink,test
90184,32075,backlink,test
126650,32115,claimreview_schema,train
1870,70316,backlink,train
132580,69453,backlink,train
130072,52657,backlink,train
15457,50439,backlink,train
87490,47932,backlink,train
132301,31470,backlink,train
74697,54780,backlink,train
196949,53324,backlink,train
196949,54597,backlink,train
151159,28805,backlink,train
130046,47430,backlink,train
22209,50477,backlink,train
22209,70016,backlink,train
14391,41875,claimreview_schema,dev
6432,69401,backlink,train
11745,53791,backlink,train
78177,51662,backlink,train
199781,69401,backlink,train
15245,27171,backlink,train
99287,54575,backlink,test
131455,67171,claimreview_schema,train
128529,67171,claimreview_schema,train
125832,34437,backlink,train
3493,34140,backlink,train
3493,21011,backlink,train
120951,44858,backlink,test
19601,36071,backlink,test
19050,36605,backlink,train
128715,51191,backlink,dev
200221,32036,backlink,train
200221,10243,backlink,train
200221,39968,backlink,train
194416,30929,backlink,train
194416,35946,backlink,train
194416,17631,backlink,train
74042,48118,backlink,train
126910,39968,backlink,train
126910,70243,backlink,train
126910,76871,backlink,train
94305,67164,claimreview_schema,dev
17447,52026,backlink,dev
71653,52400,backlink,train
24484,33827,backlink,train
133288,46530,backlink,train
121962,45727,backlink,train
121962,45847,backlink,train
129591,66190,claimreview_schema,train
103517,11549,backlink,train
194309,69503,backlink,train
125298,69503,backlink,train
131273,39535,backlink,train
120355,49813,backlink,train
71647,69539,backlink,test
12402,2812,backlink,train
133067,69481,backlink,train
108111,41201,backlink,train
108111,42994,backlink,train
108111,70044,backlink,train
106270,52998,backlink,train
194398,49813,backlink,train
1872,35950,backlink,train
1872,43602,backlink,train
1872,70509,backlink,train
54884,69715,backlink,train
34393,32045,backlink,train
34393,35950,backlink,train
34393,37486,backlink,train
34393,38857,backlink,train
34393,45284,backlink,train
34393,70509,backlink,train
132527,2812,backlink,train
124865,38083,backlink,dev
123974,35927,backlink,train
125518,28347,backlink,train
125518,32045,backlink,train
125518,45284,backlink,train
46521,65810,claimreview_schema,train
103848,33195,backlink,train
66785,46760,backlink,train
61469,29578,backlink,train
61469,30162,backlink,train
106011,44161,backlink,train
106011,49448,backlink,train
131749,70074,backlink,test
19426,43469,backlink,train
61405,20796,backlink,train
61405,70348,backlink,train
40721,42636,claimreview_schema,dev
105772,46135,backlink,train
125676,45287,backlink,train
5346,27727,backlink,train
92901,45660,backlink,train
83911,33138,backlink,dev
55118,40653,backlink,train
118146,50579,backlink,test
63720,54563,backlink,train
41090,55268,backlink,train
74155,46975,backlink,train
1467,49238,backlink,train
115409,43971,backlink,test
19602,34321,backlink,train
151247,38519,backlink,train
48217,30733,backlink,train
125547,45782,backlink,train
102416,35796,backlink,train
132557,42888,backlink,train
149651,51895,backlink,train
205883,48182,backlink,test
144997,33657,backlink,train
111312,43894,claimreview_schema,train
129401,33189,backlink,dev
201630,40291,backlink,dev
197874,48182,backlink,test
98150,51721,backlink,dev
128345,54436,backlink,dev
128697,39830,backlink,test
72699,69971,backlink,dev
195145,37936,backlink,train
12730,69566,backlink,test
20166,33649,backlink,train
15463,36736,backlink,dev
51746,38767,backlink,train
2979,47110,backlink,train
13497,55498,backlink,train
33304,47033,backlink,dev
100557,65107,claimreview_schema,train
127038,69926,backlink,train
12814,43443,backlink,train
149616,33244,backlink,dev
33827,69831,backlink,train
36870,52746,backlink,train
36870,52849,backlink,train
93037,33512,backlink,train
198725,47271,backlink,train
198725,47762,backlink,train
198725,69958,backlink,train
113325,35180,backlink,train
113325,54817,backlink,train
107444,45113,backlink,train
127714,30253,backlink,train
127714,68358,claimreview_schema,train
14092,51365,backlink,dev
113861,33619,backlink,test
15805,28818,backlink,train
15823,33604,backlink,test
122819,36890,backlink,train
127350,52980,backlink,dev
24707,35892,backlink,train
132206,34467,backlink,train
124745,29261,backlink,train
39098,69693,backlink,train
9404,70155,backlink,train
41218,70179,backlink,train
139138,70245,backlink,test
130102,43966,backlink,train
17439,52768,backlink,train
131008,28113,backlink,test
14861,53092,backlink,train
108605,17640,backlink,train
16014,29738,backlink,train
98992,40470,backlink,train
17441,50302,backlink,train
18106,51650,backlink,train
149451,41543,backlink,train
149451,45434,claimreview_schema,train
101558,20988,backlink,dev
63350,29352,backlink,train
41767,38575,backlink,train
24354,52444,backlink,test
127632,49454,backlink,test
151854,29336,backlink,train
23138,32456,backlink,train
23138,55720,backlink,train
126913,19477,backlink,train
84264,30212,backlink,train
34704,53582,backlink,test
127964,32576,backlink,train
98998,39972,backlink,test
126119,30549,backlink,train
15977,35370,backlink,dev
123613,33217,backlink,train
127625,28857,backlink,test
71680,48536,backlink,train
71680,6553,backlink,train
5103,41194,backlink,dev
78015,35233,backlink,train
13773,33772,backlink,train
13773,52649,backlink,train
24898,34402,backlink,train
24898,40330,backlink,train
24898,50324,backlink,train
24898,50838,backlink,train
5774,55324,backlink,train
130308,41764,backlink,train
17626,39874,backlink,test
105400,38410,backlink,train
105400,43545,backlink,train
105400,53305,claimreview_schema,train
149343,53750,backlink,train
126246,41703,backlink,dev
146147,32779,backlink,train
18835,32411,backlink,train
52256,34633,backlink,train
36868,52611,backlink,test
195703,33071,backlink,train
24161,35358,backlink,train
32681,43829,backlink,train
24171,39216,backlink,test
61237,42522,backlink,train
65097,43281,backlink,train
100567,40669,backlink,train
124000,33117,backlink,train
11047,65144,claimreview_schema,train
90123,37196,backlink,train
25729,54894,backlink,train
131003,55194,backlink,train
87297,32543,backlink,train
87297,55438,backlink,train
17433,38079,backlink,train
74701,70087,backlink,train
125584,29454,backlink,dev
126550,41156,backlink,train
115630,44226,backlink,dev
131288,50276,backlink,train
105465,41523,backlink,train
125345,51448,backlink,train
24872,51489,backlink,train
149722,55054,backlink,train
131083,31972,backlink,train
131083,41053,backlink,train
120492,40947,backlink,dev
127219,39879,backlink,train
130230,15739,backlink,dev
131331,28269,backlink,train
129919,28269,backlink,train
151121,45209,backlink,test
13191,31743,backlink,train
131440,53999,backlink,dev
61415,38502,backlink,train
27464,37111,backlink,train
27464,39992,backlink,train
149461,32461,claimreview_schema,dev
25935,43511,backlink,train
18779,34931,backlink,train
135664,51795,backlink,test
87718,52470,backlink,train
18436,29879,backlink,train
138555,47730,backlink,train
34721,47730,backlink,train
17371,51583,backlink,train
17371,51651,backlink,train
62659,69752,backlink,train
127628,33185,backlink,dev
31224,54308,backlink,test
125359,49864,backlink,train
7197,42543,backlink,train
19106,40596,backlink,train
92040,54016,backlink,train
53266,44118,backlink,dev
136659,33358,backlink,test
120344,42553,backlink,train
15504,55943,backlink,train
19105,31846,backlink,test
111313,38222,backlink,train
19364,28937,backlink,train
111310,50640,backlink,train
146125,30808,backlink,train
18863,53191,backlink,train
205892,30492,backlink,train
205892,34700,backlink,train
205892,35274,backlink,train
205892,53400,backlink,train
34138,29019,backlink,train
34138,30346,backlink,train
34138,6224,backlink,train
34138,11429,backlink,train
69797,48680,backlink,train
201602,52334,backlink,train
1104,50741,backlink,train
1104,55542,backlink,train
1104,69575,backlink,train
198877,54135,backlink,train
198877,70423,backlink,train
125539,30492,backlink,train
125539,34700,backlink,train
125539,35274,backlink,train
125539,53400,backlink,train
4839,43165,backlink,test
200925,38935,backlink,test
74010,17610,backlink,train
127603,67392,claimreview_schema,train
17126,67958,claimreview_schema,test
71327,37540,claimreview_schema,train
115325,38543,backlink,train
19801,5767,backlink,train
55195,43131,backlink,train
16004,43989,backlink,train
155722,34174,backlink,dev
5678,48750,backlink,train
1298,69417,backlink,train
47753,46016,backlink,train
93654,43477,backlink,train
123612,48213,backlink,dev
123612,48982,backlink,dev
19569,45362,backlink,train
19569,55216,backlink,train
24954,43895,backlink,train
15479,36685,backlink,train
15479,38543,backlink,train
15479,70014,backlink,train
2927,52337,backlink,train
103468,29939,backlink,train
15117,44476,backlink,dev
43058,70462,backlink,train
19091,41136,backlink,train
101197,45764,backlink,train
19417,54403,backlink,train
2900,43738,backlink,train
34200,51702,backlink,train
27143,47651,backlink,train
37609,33171,backlink,train
56844,38661,backlink,train
56844,55645,backlink,train
101599,65166,claimreview_schema,dev
2497,33597,backlink,train
119098,37011,backlink,test
11162,69645,backlink,train
199408,11615,backlink,train
199408,32090,backlink,train
199408,49279,backlink,train
200416,40203,backlink,train
3429,33402,backlink,train
5796,33402,backlink,train
24097,43816,backlink,train
101709,30059,backlink,train
40233,30121,backlink,train
72561,53584,backlink,dev
1142,29749,backlink,train
1142,53670,backlink,train
10284,45958,backlink,train
35970,70383,backlink,test
109015,55113,backlink,train
137843,66951,claimreview_schema,test
17794,46581,backlink,train
17794,70310,backlink,train
56670,52887,backlink,train
125633,48376,backlink,train
34683,40129,backlink,train
108992,42651,backlink,train
14206,46292,backlink,train
10688,53233,backlink,train
15396,48585,backlink,train
41223,44409,backlink,train
130050,36064,backlink,train
17638,49945,backlink,train
75961,36429,backlink,dev
24847,49936,backlink,train
129716,28296,backlink,train
86446,51205,backlink,dev
74933,41135,backlink,train
3130,49291,backlink,train
129735,52188,backlink,train
93557,44677,backlink,train
106526,19469,backlink,train
31115,38270,backlink,train
115478,3398,backlink,train
89994,70406,backlink,test
106254,42723,backlink,dev
89978,69845,backlink,train
106268,49959,backlink,train
55327,28414,backlink,train
55327,29394,backlink,train
128091,70023,backlink,train
23959,32298,backlink,train
89989,52126,backlink,train
118714,41141,backlink,train
118714,51553,backlink,train
12907,30407,backlink,train
200090,38083,backlink,dev
113471,48279,backlink,train
195031,35432,backlink,test
150541,69854,backlink,train
15473,32692,backlink,train
201631,56027,backlink,test
195013,34041,backlink,train
195013,6673,backlink,train
195013,46781,backlink,train
195013,20700,backlink,train
89972,33486,backlink,train
55166,38884,backlink,train
106578,21121,backlink,train
106578,55346,backlink,train
21017,39863,claimreview_schema,train
3809,69416,backlink,dev
127773,52293,backlink,train
128683,34892,backlink,test
34592,35248,backlink,train
34592,41928,backlink,train
7111,35248,backlink,train
129700,45246,backlink,train
65259,67294,claimreview_schema,test
36087,44645,backlink,train
36087,53558,backlink,train
66187,28660,backlink,train
129019,43796,backlink,test
205903,67867,claimreview_schema,test
205904,31682,backlink,train
196358,69794,backlink,train
205907,34796,backlink,train
205908,42366,backlink,train
205909,54103,backlink,train
205911,34521,backlink,train
205911,53098,backlink,train
130423,69517,backlink,train
205913,52314,backlink,train
205913,53838,backlink,train
205918,40417,backlink,train
205918,50432,backlink,train
205922,41029,backlink,train
78036,12791,backlink,train
78036,53134,backlink,train
65475,53673,backlink,train
65475,70162,backlink,train
113252,37797,backlink,train
205928,31184,backlink,dev
151149,29007,backlink,train
428,5380,backlink,train
205931,53500,backlink,train
113928,48498,backlink,train
125408,51109,backlink,dev
197521,39332,backlink,train
194615,5380,backlink,train
194615,52087,backlink,train
106585,70162,backlink,train
205934,51979,backlink,train
199929,34871,backlink,train
109004,69901,backlink,train
205948,46348,backlink,train
205949,37934,backlink,train
205949,47522,backlink,train
35475,42784,backlink,test
136358,48566,backlink,train
113213,52153,backlink,train
108981,46033,backlink,train
205953,48818,backlink,train
205955,48934,backlink,train
98066,33091,backlink,train
40826,51029,backlink,train
131040,41021,backlink,train
128555,28726,backlink,train
21135,48195,backlink,train
195378,70288,backlink,train
195378,77142,backlink,train
205964,42641,backlink,train
5209,53891,backlink,train
5209,69559,backlink,train
35603,52261,backlink,train
15971,28878,backlink,train
205971,53457,backlink,train
205974,31173,backlink,train
205975,44572,backlink,train
205978,33181,claimreview_schema,train
119721,47560,backlink,train
119721,53131,backlink,train
205981,36692,backlink,train
205987,37990,backlink,train
205990,32346,backlink,test
205991,34144,backlink,train
205991,37744,backlink,train
205995,41735,backlink,test
205996,38824,backlink,train
206000,44851,backlink,test
206001,53747,backlink,train
206002,48275,backlink,train
206003,36977,backlink,train
206003,70045,backlink,train
206006,38691,backlink,train
206007,29659,backlink,train
206008,28957,backlink,train
206008,40885,backlink,train
206008,51052,backlink,train
206008,55109,backlink,train
206009,70045,backlink,train
206009,70277,backlink,train
206011,50704,backlink,train
206019,69521,backlink,train
206020,34961,backlink,test
206021,30082,backlink,train
206021,36983,backlink,train
206023,31511,backlink,train
206029,44514,backlink,train
206029,54942,backlink,train
206033,34358,backlink,train
206033,42057,backlink,train
206035,43570,backlink,train
206039,69739,backlink,train
206041,42688,backlink,train
206044,76868,backlink,train
206045,70045,backlink,train
206046,52420,backlink,dev
206059,39935,backlink,train
206064,44947,backlink,train
206065,39935,backlink,train
206067,44862,backlink,dev
206070,69770,backlink,train
206071,69770,backlink,train
206074,52276,backlink,train
206080,29432,backlink,train
206080,30358,backlink,train
206080,44317,backlink,train
206082,53845,backlink,train
206087,34470,backlink,dev
206090,33237,backlink,train
206090,40046,backlink,train
206093,28336,backlink,train
206094,28245,backlink,dev
206115,70326,backlink,test
206120,54007,backlink,train
206121,21121,backlink,train
206121,55346,backlink,train
206127,42732,backlink,train
206127,54340,backlink,train
206130,70381,backlink,train
206137,43385,backlink,train
206141,51468,backlink,train
206143,33275,backlink,train
206148,32014,backlink,train
206149,41929,backlink,train
206150,55980,backlink,train
206150,70247,backlink,train
206158,65578,claimreview_schema,train
206167,55412,backlink,train
206173,70256,backlink,train
206176,36332,backlink,train
206183,50315,backlink,train
206184,28689,backlink,train
206185,34181,backlink,train
206186,41889,backlink,dev
206189,29557,backlink,train
206191,51928,backlink,test
206195,47268,backlink,train
206199,55782,backlink,train
206201,47295,backlink,train
206205,42697,backlink,train
206206,34223,backlink,train
206207,54170,backlink,train
206221,66965,claimreview_schema,train
206223,69744,backlink,train
206223,69840,backlink,train
206223,70508,backlink,train
206224,69382,backlink,train
206225,37364,backlink,train
206226,54447,backlink,dev
206229,35534,backlink,train
206229,44160,backlink,train
206229,76690,backlink,train
206230,32533,backlink,train
206230,34216,backlink,train
206232,37893,backlink,train
206232,70201,backlink,train
206238,32598,backlink,train
206242,70405,backlink,train
206244,70004,claimreview_schema,train
206247,70105,backlink,train
206248,52491,backlink,train
206249,48939,backlink,train
206249,69397,backlink,train
206250,48277,backlink,train
206250,69923,backlink,train
206251,39048,backlink,train
206253,70476,backlink,test
206266,70270,backlink,train
206267,29617,backlink,train
206267,31765,backlink,train
206267,42830,backlink,train
206267,44703,backlink,train
206267,46903,backlink,train
206267,54897,backlink,train
206270,69893,backlink,train
206270,70046,backlink,train
206278,69674,backlink,train
206279,69767,backlink,train
206282,35816,backlink,train
206282,39137,backlink,train
206282,43598,backlink,train
206284,69367,backlink,train
206288,70194,backlink,test
206289,69975,backlink,train
206289,77326,backlink,train
206292,35671,backlink,dev
206293,40539,backlink,train
206296,32157,backlink,train
206298,51322,backlink,dev
206299,70030,backlink,train
206301,46918,backlink,test
206302,66422,claimreview_schema,dev
206310,54353,backlink,train
206313,14658,backlink,train
